Date,Open,High,Low,Close,Adj Close,Volume
2010-11-15,112.963715,115.722672,112.059395,114.527122,95.861038,2412825
2010-11-16,115.370132,117.531319,106.748413,113.339241,94.866776,4120624
2010-11-18,115.615379,116.795593,113.891029,115.753326,96.887390,6405445
2010-11-19,116.489044,116.565681,112.235664,113.116997,94.680748,3081571
2010-11-22,114.496468,118.788170,112.427254,115.117233,96.354973,2450411
2010-11-23,116.251465,116.251465,111.162735,113.362236,94.886017,1809263
2010-11-24,113.431206,114.871994,109.898216,111.254700,93.121971,2428353
2010-11-25,111.591904,111.890793,107.062630,107.966949,90.370079,4927938
2010-11-26,101.161537,106.985992,86.600410,89.604599,75.000504,25069466
2010-11-29,91.965034,98.463898,85.834030,97.360313,81.492149,17744328
2010-11-30,99.628792,104.993416,97.184052,102.579330,85.860542,12901688
2010-12-01,103.154114,105.744461,102.694290,104.081429,87.117828,5046091
2010-12-02,104.993416,109.507362,100.678719,103.146446,86.335236,5095760
2010-12-03,103.146446,104.763504,102.257454,103.169441,86.354485,3555607
2010-12-06,102.433723,104.993416,102.081192,102.701950,85.963173,3039887
2010-12-07,102.686623,103.223091,100.425819,101.123222,84.641769,1366941
2010-12-08,100.425819,101.445099,96.639923,98.670822,82.589066,2116339
2010-12-09,98.096039,100.441147,93.896301,95.551674,79.978287,10346575
2010-12-10,95.038200,99.337563,93.850319,97.429291,81.549889,10976749
2010-12-13,97.329659,100.295532,97.207039,99.168961,83.006020,963829
2010-12-14,99.628792,100.395164,97.176384,97.383308,81.511406,1757826
2010-12-15,97.092087,98.065384,95.796913,97.061432,81.241989,2229593
2010-12-16,98.050056,98.050056,94.785294,95.528679,79.959053,6985076
2010-12-20,94.992218,97.329659,91.505211,95.727936,80.125816,4474752
2010-12-21,95.068855,97.176384,93.735359,95.758591,80.151489,19198642
2010-12-22,96.410011,97.613220,95.490364,95.766258,80.157898,1064589
2010-12-23,95.544006,96.249069,94.264160,94.938568,79.465111,1259500
2010-12-24,93.804337,95.766258,93.804337,94.838943,79.381721,1104967
2010-12-27,94.992218,96.455994,94.417435,94.923241,79.452286,380675
2010-12-28,95.183807,96.226082,94.915581,95.643639,80.055260,417889
2010-12-29,95.796913,98.525208,95.229790,97.858459,81.909111,1137941
2010-12-30,99.475510,107.292542,96.570953,99.276253,83.095818,3951092
2010-12-31,99.628792,100.418152,99.322235,99.613457,83.378075,1476515
2011-01-03,100.395164,101.130882,98.862411,99.437195,83.230530,877846
2011-01-04,99.628792,100.548439,99.061668,99.682434,83.435814,1187179
2011-01-05,98.862411,101.130882,98.318283,99.943001,83.653900,1453648
2011-01-06,100.556099,103.430008,95.045860,98.770447,82.672455,45665126
2011-01-07,99.130646,100.548439,95.513351,96.272064,80.581276,1698984
2011-01-10,97.544250,99.291580,89.022156,89.596931,74.994080,17155113
2011-01-11,90.432281,93.804337,89.788528,92.516823,77.438080,5381945
2011-01-12,93.344513,95.950188,93.344513,94.961563,79.484352,14665797
2011-01-13,95.528679,99.552147,95.367744,98.647827,82.569817,12323283
2011-01-14,98.096039,99.475510,97.023109,98.387260,82.351738,4062767
