,Date,Open,High,Low,Close,Adj Close,Volume,MACD,Signal
2020-01-01,2020-01-01,1503.745972,1512.760498,1491.363403,1495.424927,1485.053467,6463060.0,0.0,0.0
2020-01-02,2020-01-02,1497.802368,1526.480469,1497.802368,1520.883545,1510.335571,8173308.0,2.030886905982925,0.406177381196585
2020-01-03,2020-01-03,1518.605103,1527.17395,1508.699097,1522.716187,1512.155518,9684434.0,3.7450872692918438,1.0739593588156369
2020-01-06,2020-01-06,1505.727173,1513.552979,1483.933838,1487.400879,1477.085083,11315596.0,2.228267117818177,1.304820910616145
2020-01-07,2020-01-07,1504.736572,1520.091064,1499.288208,1510.284058,1499.80957,7699489.0,2.8399206844092078,1.6118408653747576
2020-01-08,2020-01-08,1500.77417,1520.041504,1495.821167,1498.941528,1488.545776,7406104.0,2.3819554652495754,1.7658637853497212
2020-01-09,2020-01-09,1524.152588,1535.445557,1516.871582,1533.464233,1522.829102,6914533.0,4.749953991944722,2.3626818266687213
2020-01-10,2020-01-10,1537.327637,1543.320801,1525.192749,1533.117554,1522.484741,5758760.0,6.523437658250941,3.194832992985165
2020-01-13,2020-01-13,1530.541992,1544.063843,1523.954468,1529.204712,1518.598999,8437316.0,7.526442449137448,4.061154884215622
2020-01-14,2020-01-14,1525.539429,1535.445557,1507.559814,1515.03894,1504.531494,7299328.0,7.096467895568139,4.6682174864861254
2020-01-15,2020-01-15,1521.428345,1525.440308,1503.993652,1509.541016,1499.071777,7299939.0,6.240140984417621,4.982602186072425
2020-01-16,2020-01-16,1514.6427,1528.85791,1513.6521,1523.459106,1512.893311,5929338.0,6.608391854776755,5.307760119813292
2020-01-17,2020-01-17,1538.912598,1570.067383,1538.615479,1566.154419,1555.29248,13597387.0,10.227492099590563,6.291706515768746
2020-01-20,2020-01-20,1593.891479,1593.891479,1512.067139,1517.961304,1507.433716,15019904.0,9.101951868608921,6.853755586336781
2020-01-21,2020-01-21,1514.24646,1531.334473,1507.708374,1519.496704,1508.958374,8732832.0,8.2388744583684,7.130779360743105
2020-01-22,2020-01-22,1529.501831,1532.226074,1516.723022,1518.951904,1508.417358,4763978.0,7.425324071901969,7.189688302974878
2020-01-23,2020-01-23,1522.072266,1527.471069,1506.420654,1512.512939,1502.023071,5190829.0,6.1896583380964785,6.989682309999199
2020-01-24,2020-01-24,1512.661499,1521.923706,1504.290771,1507.262695,1496.809204,6751025.0,4.732183859039651,6.538182619807289
2020-01-27,2020-01-27,1500.675049,1510.135376,1490.868042,1492.403564,1482.053101,6178444.0,2.351016095003388,5.700749314846509
2020-01-28,2020-01-28,1494.434204,1495.821167,1449.856812,1457.930298,1447.81897,11321622.0,-2.2913675160791627,4.102325948661375
2020-01-29,2020-01-29,1460.20874,1480.367554,1450.302612,1465.954224,1455.787354,11420535.0,-5.262364937684424,2.229387771392215
2020-01-30,2020-01-30,1465.112183,1465.805664,1426.478394,1430.193237,1420.27417,10338837.0,-10.382827807173726,-0.29305534432097335
2020-01-31,2020-01-31,1439.356323,1439.604004,1393.98645,1398.394653,1388.696289,16037262.0,-16.812902821079206,-3.59702483967262
2020-02-03,2020-02-03,1357.036621,1386.804443,1350.250977,1372.490112,1362.971436,14173717.0,-23.72556995936884,-7.622733863611864
2020-02-04,2020-02-04,1386.854004,1419.048828,1384.674683,1413.006104,1403.206299,11714666.0,-25.639055449944863,-11.225998180878465
2020-02-05,2020-02-05,1421.42627,1439.158203,1416.869507,1434.89856,1424.946899,8524871.0,-25.099635279314043,-14.00072560056558
2020-02-06,2020-02-06,1440.446045,1453.224854,1426.577515,1444.111328,1434.095825,7171051.0,-23.656055245010066,-15.931791529454479
2020-02-07,2020-02-07,1437.375122,1438.712402,1414.888306,1420.187988,1410.338379,5634549.0,-24.163875158361407,-17.578208255235864
