,date,price,buysell,balance
0,2016-12-19,1782.75,buy,0.0
1,2016-12-26,1688.449951171875,sell,-94.300048828125
2,2017-04-27,1645.050048828125,buy,-94.300048828125
3,2017-05-29,1536.300048828125,sell,-203.050048828125
4,2017-05-30,1549.0,buy,-203.050048828125
5,2017-07-18,1462.3499755859375,sell,-289.7000732421875
6,2017-07-28,1420.9000244140625,buy,-289.7000732421875
7,2017-08-03,1338.050048828125,sell,-372.550048828125
8,2017-08-24,1231.949951171875,buy,-372.550048828125
9,2017-09-27,1145.300048828125,sell,-459.199951171875
10,2018-02-07,1331.8499755859375,buy,-459.199951171875
11,2018-02-12,1425.5999755859375,sell,-365.449951171875
12,2018-05-28,1049.300048828125,buy,-365.449951171875
13,2018-05-30,985.0,sell,-429.75
14,2018-06-08,976.3499755859375,buy,-429.75
15,2018-06-14,1055.6500244140625,sell,-350.449951171875
16,2018-10-05,1019.5,buy,-350.449951171875
17,2018-11-16,1119.5999755859375,sell,-250.3499755859375
18,2019-02-07,963.9500122070312,buy,-250.3499755859375
19,2019-03-12,1043.050048828125,sell,-171.24993896484375
20,2019-06-20,945.75,buy,-171.24993896484375
21,2019-07-15,883.5,sell,-233.49993896484375
22,2019-07-16,910.4000244140625,buy,-233.49993896484375
23,2019-08-14,981.9000244140625,sell,-161.99993896484375
24,2020-03-25,1116.8499755859375,buy,-161.99993896484375
25,2020-03-27,1238.550048828125,sell,-40.29986572265625
