,date,price,buysell,balance
0,2017-03-22,21.950000762939453,buy,0.0
1,2017-03-28,20.649999618530273,sell,-1.3000011444091797
2,2017-03-29,21.75,buy,-1.3000011444091797
3,2017-05-12,19.700000762939453,sell,-3.3500003814697266
4,2017-05-25,22.799999237060547,buy,-3.3500003814697266
5,2017-05-26,21.399999618530273,sell,-4.75
6,2017-06-08,21.5,buy,-4.75
7,2017-06-20,20.299999237060547,sell,-5.950000762939453
8,2017-07-11,21.100000381469727,buy,-5.950000762939453
9,2017-07-25,23.950000762939453,sell,-3.1000003814697266
10,2017-09-06,20.5,buy,-3.1000003814697266
11,2017-10-18,23.0,sell,-0.6000003814697266
12,2018-03-20,35.900001525878906,buy,-0.6000003814697266
13,2018-03-21,33.099998474121094,sell,-3.400003433227539
14,2018-03-22,38.599998474121094,buy,-3.400003433227539
15,2018-03-26,35.04999923706055,sell,-6.950002670288086
16,2018-04-03,34.900001525878906,buy,-6.950002670288086
17,2018-04-17,38.900001525878906,sell,-2.950002670288086
18,2018-07-18,36.849998474121094,buy,-2.950002670288086
19,2018-07-19,34.900001525878906,sell,-4.899999618530273
20,2018-07-20,36.900001525878906,buy,-4.899999618530273
21,2018-07-23,32.25,sell,-9.55000114440918
22,2018-07-27,38.5,buy,-9.55000114440918
23,2018-07-30,35.04999923706055,sell,-13.000001907348633
24,2018-07-31,36.75,buy,-13.000001907348633
25,2018-08-06,34.70000076293945,sell,-15.05000114440918
26,2018-08-14,36.150001525878906,buy,-15.05000114440918
27,2018-09-19,34.0,sell,-17.200002670288086
28,2018-10-03,34.900001525878906,buy,-17.200002670288086
29,2018-10-24,32.900001525878906,sell,-19.200002670288086
30,2018-10-25,35.70000076293945,buy,-19.200002670288086
31,2018-11-21,40.400001525878906,sell,-14.500001907348633
32,2019-08-26,89.5,buy,-14.500001907348633
33,2019-09-04,84.5,sell,-19.500001907348633
34,2019-09-05,88.25,buy,-19.500001907348633
35,2019-09-19,97.80000305175781,sell,-9.94999885559082
36,2020-04-27,9.350000381469727,buy,-9.94999885559082
37,2020-04-30,10.75,sell,-8.549999237060547
38,2020-06-01,10.300000190734863,buy,-8.549999237060547
39,2020-06-04,11.800000190734863,sell,-7.049999237060547
40,2020-06-08,12.949999809265137,buy,-7.049999237060547
41,2020-06-11,14.5,sell,-5.499999046325684
42,2020-08-11,12.149999618530273,buy,-5.499999046325684
43,2020-08-13,11.300000190734863,sell,-6.349998474121094
44,2020-11-24,9.0,buy,-6.349998474121094
45,2020-11-26,10.850000381469727,sell,-4.499998092651367
46,2021-01-20,14.100000381469727,buy,-4.499998092651367
47,2021-01-25,13.199999809265137,sell,-5.399998664855957
48,2021-02-02,14.100000381469727,buy,-5.399998664855957
49,2021-02-10,13.199999809265137,sell,-6.299999237060547
50,2021-03-23,13.199999809265137,buy,-6.299999237060547
51,2021-03-30,12.300000190734863,sell,-7.19999885559082
52,2021-05-11,12.25,buy,-7.19999885559082
53,2021-05-17,14.100000381469727,sell,-5.349998474121094
54,2021-07-01,13.449999809265137,buy,-5.349998474121094
55,2021-07-06,14.899999618530273,sell,-3.899998664855957
56,2021-07-07,16.350000381469727,buy,-3.899998664855957
57,2021-07-16,15.399999618530273,sell,-4.84999942779541
58,2021-08-09,16.049999237060547,buy,-4.84999942779541
59,2021-08-12,17.899999618530273,sell,-2.9999990463256836
60,2021-08-25,15.75,buy,-2.9999990463256836
61,2021-09-06,14.850000381469727,sell,-3.899998664855957
62,2021-09-15,16.100000381469727,buy,-3.899998664855957
63,2021-09-20,14.75,sell,-5.249999046325684
64,2021-09-21,16.200000762939453,buy,-5.249999046325684
65,2021-09-24,15.300000190734863,sell,-6.149999618530273
66,2021-09-27,15.699999809265137,buy,-6.149999618530273
67,2021-10-07,18.450000762939453,sell,-3.399998664855957
68,2021-11-01,17.850000381469727,buy,-3.399998664855957
69,2021-11-09,16.649999618530273,sell,-4.59999942779541
70,2021-12-02,17.200000762939453,buy,-4.59999942779541
71,2021-12-10,20.5,sell,-1.3000001907348633
72,2022-01-27,23.299999237060547,buy,-1.3000001907348633
73,2022-02-14,21.899999618530273,sell,-2.6999998092651367
74,2022-02-16,23.299999237060547,buy,-2.6999998092651367
75,2022-02-21,21.700000762939453,sell,-4.2999982833862305
76,2022-03-09,23.149999618530273,buy,-4.2999982833862305
