,date,price,buysell,balance
0,2017-06-16,687.8795776367188,buy,0.0
1,2017-07-07,738.5740356445312,sell,50.6944580078125
2,2017-09-08,809.2293090820312,buy,50.6944580078125
3,2017-10-12,864.5548706054688,sell,106.02001953125
4,2017-12-06,917.9487915039062,buy,106.02001953125
5,2018-01-23,974.0172729492188,sell,162.0885009765625
6,2018-03-12,921.5645141601562,buy,162.0885009765625
7,2018-03-28,874.4114379882812,sell,114.9354248046875
8,2018-04-13,930.0341796875,buy,114.9354248046875
9,2018-04-27,986.9447631835938,sell,171.84600830078125
10,2018-06-13,993.0865478515625,buy,171.84600830078125
11,2018-06-28,936.076904296875,sell,114.83636474609375
12,2018-11-19,1139.2015380859375,buy,114.83636474609375
13,2018-12-10,1080.0125732421875,sell,55.64739990234375
14,2019-01-17,1123.7974853515625,buy,55.64739990234375
15,2019-01-21,1226.0780029296875,sell,157.92791748046875
16,2019-03-12,1318.8486328125,buy,157.92791748046875
17,2019-05-02,1391.8565673828125,sell,230.93585205078125
18,2019-06-11,1316.6693115234375,buy,230.93585205078125
19,2019-06-24,1250.5460205078125,sell,164.81256103515625
20,2019-08-26,1254.90478515625,buy,164.81256103515625
21,2019-09-04,1189.8712158203125,sell,99.77899169921875
22,2019-09-30,1319.740234375,buy,99.77899169921875
23,2019-10-18,1403.050537109375,sell,183.08929443359375
24,2020-04-17,1212.506591796875,buy,183.08929443359375
25,2020-04-22,1350.7957763671875,sell,321.37847900390625
26,2020-09-10,2314.0,buy,321.37847900390625
27,2020-09-24,2181.199951171875,sell,188.57843017578125
28,2020-12-22,1936.699951171875,buy,188.57843017578125
29,2021-01-20,2054.699951171875,sell,306.57843017578125
30,2021-01-21,2099.39990234375,buy,306.57843017578125
31,2021-01-25,1941.0,sell,148.17852783203125
32,2021-02-11,2055.699951171875,buy,148.17852783203125
33,2021-03-03,2202.10009765625,sell,294.57867431640625
34,2021-05-19,1997.050048828125,buy,294.57867431640625
35,2021-05-31,2160.300048828125,sell,457.82867431640625
36,2021-08-13,2145.64990234375,buy,457.82867431640625
37,2021-08-30,2270.25,sell,582.4287719726562
38,2022-01-10,2438.0,buy,582.4287719726562
39,2022-02-24,2255.75,sell,400.17877197265625
40,2022-03-17,2481.699951171875,buy,400.17877197265625
41,2022-03-28,2621.949951171875,sell,540.4287719726562
