,date,price,buysell,balance
0,2017-03-24,222.3000030517578,buy,0.0
1,2017-04-11,210.89999389648438,sell,-11.400009155273438
2,2017-05-24,187.5500030517578,buy,-11.400009155273438
3,2017-06-20,181.14999389648438,sell,-17.800018310546875
4,2017-09-20,43.099998474121094,buy,-17.800018310546875
5,2017-09-21,40.95000076293945,sell,-19.950016021728516
6,2017-10-10,54.79999923706055,buy,-19.950016021728516
7,2017-10-11,49.349998474121094,sell,-25.40001678466797
8,2017-11-09,45.900001525878906,buy,-25.40001678466797
9,2017-11-10,44.150001525878906,sell,-27.15001678466797
10,2018-02-16,59.95000076293945,buy,-27.15001678466797
11,2018-02-21,56.95000076293945,sell,-30.15001678466797
12,2018-03-20,56.45000076293945,buy,-30.15001678466797
13,2018-03-22,54.650001525878906,sell,-31.950016021728516
14,2018-04-12,58.75,buy,-31.950016021728516
15,2018-04-23,56.75,sell,-33.950016021728516
16,2018-06-07,52.099998474121094,buy,-33.950016021728516
17,2018-06-20,50.29999923706055,sell,-35.75001525878906
18,2018-07-11,48.349998474121094,buy,-35.75001525878906
19,2018-07-16,46.29999923706055,sell,-37.80001449584961
20,2018-08-07,46.54999923706055,buy,-37.80001449584961
21,2018-08-09,45.099998474121094,sell,-39.25001525878906
22,2018-11-12,33.75,buy,-39.25001525878906
23,2018-12-10,31.299999237060547,sell,-41.700016021728516
24,2019-02-21,19.399999618530273,buy,-41.700016021728516
25,2019-02-28,21.799999237060547,sell,-39.30001640319824
26,2019-04-30,31.950000762939453,buy,-39.30001640319824
27,2019-05-06,29.299999237060547,sell,-41.95001792907715
28,2019-06-18,24.600000381469727,buy,-41.95001792907715
29,2019-06-19,23.75,sell,-42.800018310546875
30,2019-07-04,28.100000381469727,buy,-42.800018310546875
31,2019-07-08,34.099998474121094,sell,-36.80002021789551
32,2019-09-09,32.70000076293945,buy,-36.80002021789551
33,2019-09-20,34.650001525878906,sell,-34.850019454956055
34,2019-12-26,42.29999923706055,buy,-34.850019454956055
35,2020-01-10,44.900001525878906,sell,-32.250017166137695
36,2020-01-13,47.099998474121094,buy,-32.250017166137695
37,2020-01-24,44.79999923706055,sell,-34.55001640319824
38,2020-02-13,43.5,buy,-34.55001640319824
39,2020-02-14,41.79999923706055,sell,-36.250017166137695
40,2020-04-15,26.350000381469727,buy,-36.250017166137695
41,2020-04-17,29.0,sell,-33.60001754760742
42,2020-05-19,23.299999237060547,buy,-33.60001754760742
43,2020-06-01,25.299999237060547,sell,-31.600017547607422
44,2020-06-02,26.549999237060547,buy,-31.600017547607422
45,2020-06-04,29.200000762939453,sell,-28.950016021728516
46,2020-06-29,42.5,buy,-28.950016021728516
47,2020-07-01,39.29999923706055,sell,-32.15001678466797
48,2020-07-29,38.04999923706055,buy,-32.15001678466797
49,2020-08-03,36.599998474121094,sell,-33.60001754760742
50,2020-08-26,40.79999923706055,buy,-33.60001754760742
51,2020-08-27,44.099998474121094,sell,-30.300018310546875
52,2020-10-08,46.349998474121094,buy,-30.300018310546875
53,2020-10-19,49.70000076293945,sell,-26.950016021728516
54,2020-11-19,50.95000076293945,buy,-26.950016021728516
55,2020-11-25,60.20000076293945,sell,-17.700016021728516
56,2020-12-30,70.55000305175781,buy,-17.700016021728516
57,2021-01-06,68.30000305175781,sell,-19.950016021728516
58,2021-02-08,67.8499984741211,buy,-19.950016021728516
59,2021-02-11,65.80000305175781,sell,-22.000011444091797
60,2021-02-24,85.19999694824219,buy,-22.000011444091797
61,2021-02-26,79.55000305175781,sell,-27.650005340576172
62,2021-04-07,108.6500015258789,buy,-27.650005340576172
63,2021-04-09,102.6500015258789,sell,-33.65000534057617
64,2021-05-10,96.44999694824219,buy,-33.65000534057617
65,2021-05-14,92.94999694824219,sell,-37.15000534057617
66,2021-05-28,109.05000305175781,buy,-37.15000534057617
67,2021-05-31,117.1500015258789,sell,-29.050006866455078
68,2021-07-06,134.14999389648438,buy,-29.050006866455078
69,2021-07-16,147.4499969482422,sell,-15.750003814697266
70,2021-09-03,156.5500030517578,buy,-15.750003814697266
71,2021-09-07,151.39999389648438,sell,-20.900012969970703
72,2021-11-08,165.64999389648438,buy,-20.900012969970703
73,2021-11-11,159.25,sell,-27.300006866455078
74,2022-01-13,139.10000610351562,buy,-27.300006866455078
75,2022-01-18,132.0500030517578,sell,-34.35000991821289
