,date,price,buysell,balance
0,2017-04-03,342.1000061035156,buy,0.0
1,2017-04-13,320.45001220703125,sell,-21.649993896484375
2,2017-05-08,340.5,buy,-21.649993896484375
3,2017-05-11,360.04998779296875,sell,-2.100006103515625
4,2017-06-08,359.1499938964844,buy,-2.100006103515625
5,2017-07-17,381.25,sell,20.0
6,2017-09-07,387.70001220703125,buy,20.0
7,2017-09-20,409.70001220703125,sell,42.0
8,2017-10-16,406.79998779296875,buy,42.0
9,2017-10-27,432.04998779296875,sell,67.25
10,2017-12-20,404.3999938964844,buy,67.25
11,2018-01-11,425.5,sell,88.35000610351562
12,2018-04-11,377.8999938964844,buy,88.35000610351562
13,2018-04-26,397.1000061035156,sell,107.55001831054688
14,2018-06-13,382.8500061035156,buy,107.55001831054688
15,2018-06-19,362.45001220703125,sell,87.1500244140625
16,2018-07-12,369.3500061035156,buy,87.1500244140625
17,2018-07-24,392.6000061035156,sell,110.4000244140625
18,2018-09-03,384.45001220703125,buy,110.4000244140625
19,2018-09-11,364.6499938964844,sell,90.60000610351562
20,2018-11-02,333.6000061035156,buy,90.60000610351562
21,2018-11-19,350.54998779296875,sell,107.54998779296875
22,2018-12-20,375.1499938964844,buy,107.54998779296875
23,2019-01-17,394.5,sell,126.89999389648438
24,2019-02-22,354.29998779296875,buy,126.89999389648438
25,2019-02-25,324.54998779296875,sell,97.14999389648438
26,2019-03-14,366.0,buy,97.14999389648438
27,2019-04-05,387.1499938964844,sell,118.29998779296875
28,2019-05-24,410.25,buy,118.29998779296875
29,2019-07-24,380.79998779296875,sell,88.8499755859375
30,2019-09-06,365.75,buy,88.8499755859375
31,2019-09-23,410.95001220703125,sell,134.04998779296875
32,2019-12-09,373.6000061035156,buy,134.04998779296875
33,2020-02-27,353.70001220703125,sell,114.14999389648438
34,2020-04-16,267.6000061035156,buy,114.14999389648438
35,2020-04-29,287.6499938964844,sell,134.19998168945312
36,2020-08-07,326.6499938964844,buy,134.19998168945312
37,2020-08-13,347.6499938964844,sell,155.19998168945312
38,2020-10-09,357.20001220703125,buy,155.19998168945312
39,2020-11-17,379.6499938964844,sell,177.64996337890625
40,2021-04-06,835.5499877929688,buy,177.64996337890625
41,2021-04-12,744.6500244140625,sell,86.75
42,2021-05-10,765.4500122070312,buy,86.75
43,2021-06-02,811.5,sell,132.79998779296875
44,2021-07-13,704.0,buy,132.79998779296875
45,2021-07-27,663.2000122070312,sell,92.0
46,2021-08-10,693.0,buy,92.0
47,2021-08-30,730.0,sell,129.0
48,2021-10-18,810.5499877929688,buy,129.0
49,2021-10-22,761.7999877929688,sell,80.25
50,2021-11-18,726.0499877929688,buy,80.25
51,2021-11-24,763.0499877929688,sell,117.25
52,2021-12-13,758.4500122070312,buy,117.25
53,2021-12-20,701.7000122070312,sell,60.5
54,2022-01-10,738.8499755859375,buy,60.5
55,2022-01-14,780.0999755859375,sell,101.75
56,2022-02-17,734.2000122070312,buy,101.75
57,2022-02-24,654.8499755859375,sell,22.39996337890625
