,date,price,buysell,balance
0,2017-04-19,240.14999389648438,buy,0.0
1,2017-05-08,260.75,sell,20.600006103515625
2,2017-06-12,230.64999389648438,buy,20.600006103515625
3,2017-06-22,244.9499969482422,sell,34.90000915527344
4,2017-10-13,277.54998779296875,buy,34.90000915527344
5,2017-11-21,261.6499938964844,sell,19.000015258789062
6,2017-11-28,263.04998779296875,buy,19.000015258789062
7,2018-02-07,248.3000030517578,sell,4.250030517578125
8,2018-02-08,261.8999938964844,buy,4.250030517578125
9,2018-03-05,246.10000610351562,sell,-11.549957275390625
10,2018-05-21,208.0500030517578,buy,-11.549957275390625
11,2018-06-21,197.0,sell,-22.599960327148438
12,2018-10-04,213.6999969482422,buy,-22.599960327148438
13,2018-10-23,200.60000610351562,sell,-35.699951171875
14,2019-01-29,200.85000610351562,buy,-35.699951171875
15,2019-02-06,214.5,sell,-22.049957275390625
16,2019-05-17,219.0,buy,-22.049957275390625
17,2019-05-27,239.14999389648438,sell,-1.89996337890625
18,2019-06-27,218.4499969482422,buy,-1.89996337890625
19,2019-07-08,205.39999389648438,sell,-14.949966430664062
20,2019-10-24,197.64999389648438,buy,-14.949966430664062
21,2019-12-02,209.85000610351562,sell,-2.7499542236328125
22,2019-12-27,194.89999389648438,buy,-2.7499542236328125
23,2020-01-09,207.9499969482422,sell,10.300048828125
24,2020-02-28,205.0500030517578,buy,10.300048828125
25,2020-03-09,193.6999969482422,sell,-1.049957275390625
26,2020-03-20,160.39999389648438,buy,-1.049957275390625
27,2020-03-23,145.85000610351562,sell,-15.599945068359375
28,2020-09-23,209.25,buy,-15.599945068359375
29,2020-09-24,198.25,sell,-26.599945068359375
30,2020-12-30,252.39999389648438,buy,-26.599945068359375
31,2021-01-08,269.95001220703125,sell,-9.0499267578125
32,2021-10-14,408.75,buy,-9.0499267578125
33,2021-10-21,379.8999938964844,sell,-37.899932861328125
34,2021-12-08,376.95001220703125,buy,-37.899932861328125
35,2021-12-20,350.29998779296875,sell,-64.54995727539062
36,2022-02-08,376.29998779296875,buy,-64.54995727539062
37,2022-02-14,355.1000061035156,sell,-85.74993896484375
