,date,price,buysell,balance
0,2017-04-03,342.1000061035156,buy,0.0
1,2017-04-13,320.45001220703125,sell,-21.649993896484375
2,2017-04-19,325.79998779296875,buy,-21.649993896484375
3,2017-05-05,344.95001220703125,sell,-2.499969482421875
4,2017-05-08,340.5,buy,-2.499969482421875
5,2017-05-11,360.04998779296875,sell,17.050018310546875
6,2017-06-08,359.1499938964844,buy,17.050018310546875
7,2017-07-17,381.25,sell,39.1500244140625
8,2017-09-07,387.70001220703125,buy,39.1500244140625
9,2017-09-20,409.70001220703125,sell,61.1500244140625
10,2017-10-13,408.20001220703125,buy,61.1500244140625
11,2017-10-27,432.04998779296875,sell,85.0
12,2017-12-20,404.3999938964844,buy,85.0
13,2018-01-11,425.5,sell,106.10000610351562
14,2018-04-11,377.8999938964844,buy,106.10000610351562
15,2018-04-26,397.1000061035156,sell,125.30001831054688
16,2018-06-13,382.8500061035156,buy,125.30001831054688
17,2018-06-19,362.45001220703125,sell,104.9000244140625
18,2018-07-12,369.3500061035156,buy,104.9000244140625
19,2018-07-24,392.6000061035156,sell,128.1500244140625
20,2018-09-03,384.45001220703125,buy,128.1500244140625
21,2018-09-11,364.6499938964844,sell,108.35000610351562
22,2018-11-02,333.6000061035156,buy,108.35000610351562
23,2018-11-19,350.54998779296875,sell,125.29998779296875
24,2018-12-20,375.1499938964844,buy,125.29998779296875
25,2019-01-17,394.5,sell,144.64999389648438
26,2019-02-22,354.29998779296875,buy,144.64999389648438
27,2019-02-25,324.54998779296875,sell,114.89999389648438
28,2019-03-11,351.29998779296875,buy,114.89999389648438
29,2019-03-18,369.0,sell,132.60000610351562
30,2019-05-24,410.25,buy,132.60000610351562
31,2019-07-24,380.79998779296875,sell,103.14999389648438
32,2019-09-06,365.75,buy,103.14999389648438
33,2019-09-23,410.95001220703125,sell,148.35000610351562
34,2019-12-09,373.6000061035156,buy,148.35000610351562
35,2020-02-27,353.70001220703125,sell,128.45001220703125
36,2020-04-16,267.6000061035156,buy,128.45001220703125
37,2020-04-29,287.6499938964844,sell,148.5
38,2020-08-07,326.6499938964844,buy,148.5
39,2020-08-13,347.6499938964844,sell,169.5
40,2020-08-14,348.1000061035156,buy,169.5
41,2020-09-03,366.0,sell,187.39999389648438
42,2020-10-09,357.20001220703125,buy,187.39999389648438
43,2020-11-17,379.6499938964844,sell,209.8499755859375
44,2021-04-06,835.5499877929688,buy,209.8499755859375
45,2021-04-12,744.6500244140625,sell,118.95001220703125
46,2021-05-10,765.4500122070312,buy,118.95001220703125
47,2021-06-02,811.5,sell,165.0
48,2021-07-13,704.0,buy,165.0
49,2021-07-27,663.2000122070312,sell,124.20001220703125
50,2021-08-10,693.0,buy,124.20001220703125
51,2021-08-30,730.0,sell,161.20001220703125
52,2021-10-18,810.5499877929688,buy,161.20001220703125
53,2021-10-22,761.7999877929688,sell,112.45001220703125
54,2021-11-18,726.0499877929688,buy,112.45001220703125
55,2021-11-24,763.0499877929688,sell,149.45001220703125
56,2021-12-03,737.4500122070312,buy,149.45001220703125
57,2022-01-14,780.0999755859375,sell,192.0999755859375
58,2022-02-17,734.2000122070312,buy,192.0999755859375
59,2022-02-24,654.8499755859375,sell,112.74993896484375
