,date,price,buysell,balance
0,2017-04-21,209.4499969482422,buy,0.0
1,2017-04-26,203.25,sell,-6.1999969482421875
2,2017-05-12,190.1999969482422,buy,-6.1999969482421875
3,2017-05-17,181.85000610351562,sell,-14.54998779296875
4,2017-05-24,187.5500030517578,buy,-14.54998779296875
5,2017-06-01,182.8000030517578,sell,-19.29998779296875
6,2017-06-07,188.39999389648438,buy,-19.29998779296875
7,2017-06-08,185.3000030517578,sell,-22.399978637695312
8,2017-06-09,187.8000030517578,buy,-22.399978637695312
9,2017-06-13,185.3000030517578,sell,-24.899978637695312
10,2017-08-01,104.05000305175781,buy,-24.899978637695312
11,2017-08-08,99.94999694824219,sell,-28.999984741210938
12,2017-09-12,44.20000076293945,buy,-28.999984741210938
13,2017-09-14,48.70000076293945,sell,-24.499984741210938
14,2017-09-20,43.099998474121094,buy,-24.499984741210938
15,2017-09-22,39.0,sell,-28.59998321533203
16,2017-10-03,39.20000076293945,buy,-28.59998321533203
17,2017-10-05,43.20000076293945,sell,-24.59998321533203
18,2017-10-09,49.849998474121094,buy,-24.59998321533203
19,2017-10-17,47.70000076293945,sell,-26.749980926513672
20,2017-10-31,41.400001525878906,buy,-26.749980926513672
21,2017-11-02,47.95000076293945,sell,-20.199981689453125
22,2017-11-08,44.349998474121094,buy,-20.199981689453125
23,2017-11-10,44.150001525878906,sell,-20.399978637695312
24,2017-11-15,46.20000076293945,buy,-20.399978637695312
25,2017-11-17,51.20000076293945,sell,-15.399978637695312
26,2017-11-27,52.79999923706055,buy,-15.399978637695312
27,2017-11-29,60.0,sell,-8.19997787475586
28,2017-12-07,58.04999923706055,buy,-8.19997787475586
29,2017-12-13,57.349998474121094,sell,-8.899978637695312
30,2017-12-14,60.20000076293945,buy,-8.899978637695312
31,2017-12-18,66.3499984741211,sell,-2.749980926513672
32,2018-02-07,45.04999923706055,buy,-2.749980926513672
33,2018-02-09,49.650001525878906,sell,1.8500213623046875
34,2018-02-14,54.70000076293945,buy,1.8500213623046875
35,2018-02-19,62.900001525878906,sell,10.05002212524414
36,2018-02-26,59.45000076293945,buy,10.05002212524414
37,2018-02-27,57.95000076293945,sell,8.55002212524414
38,2018-03-01,57.54999923706055,buy,8.55002212524414
39,2018-03-05,55.45000076293945,sell,6.450023651123047
40,2018-03-09,56.599998474121094,buy,6.450023651123047
41,2018-03-19,56.0,sell,5.850025177001953
42,2018-03-28,54.0,buy,5.850025177001953
43,2018-04-03,52.70000076293945,sell,4.550025939941406
