,date,price,buysell,balance
0,2017-02-17,559.7000122070312,buy,0.0
1,2017-03-16,594.6500244140625,sell,34.95001220703125
2,2017-03-17,581.4000244140625,buy,34.95001220703125
3,2017-05-16,611.0499877929688,sell,64.5999755859375
4,2017-06-21,490.20001220703125,buy,64.5999755859375
5,2017-07-07,514.8499755859375,sell,89.24993896484375
6,2017-07-31,528.6500244140625,buy,89.24993896484375
7,2017-08-10,474.45001220703125,sell,35.0499267578125
8,2017-09-01,522.0999755859375,buy,35.0499267578125
9,2017-09-19,495.70001220703125,sell,8.64996337890625
10,2017-10-25,486.79998779296875,buy,8.64996337890625
11,2017-11-07,462.45001220703125,sell,-15.70001220703125
12,2017-11-29,453.5,buy,-15.70001220703125
13,2017-12-21,505.04998779296875,sell,35.8499755859375
14,2018-02-27,457.70001220703125,buy,35.8499755859375
15,2018-03-05,434.04998779296875,sell,12.199951171875
16,2018-03-20,453.04998779296875,buy,12.199951171875
17,2018-03-23,418.70001220703125,sell,-22.1500244140625
18,2018-03-26,424.79998779296875,buy,-22.1500244140625
19,2018-04-05,452.20001220703125,sell,5.25
20,2018-04-06,447.0,buy,5.25
21,2018-05-03,413.6000061035156,sell,-28.149993896484375
22,2018-05-29,426.79998779296875,buy,-28.149993896484375
23,2018-06-27,395.3999938964844,sell,-59.54998779296875
24,2018-07-25,398.25,buy,-59.54998779296875
25,2018-08-08,418.70001220703125,sell,-39.0999755859375
26,2018-10-16,335.45001220703125,buy,-39.0999755859375
27,2018-10-17,316.54998779296875,sell,-58.0
28,2018-10-22,327.25,buy,-58.0
29,2018-10-29,351.04998779296875,sell,-34.20001220703125
30,2018-10-31,358.6499938964844,buy,-34.20001220703125
31,2018-11-16,329.95001220703125,sell,-62.899993896484375
32,2018-11-28,362.04998779296875,buy,-62.899993896484375
33,2018-11-30,331.29998779296875,sell,-93.64999389648438
34,2018-12-27,302.79998779296875,buy,-93.64999389648438
35,2019-01-22,279.29998779296875,sell,-117.14999389648438
36,2019-03-05,130.39999389648438,buy,-117.14999389648438
37,2019-03-19,137.10000610351562,sell,-110.44998168945312
38,2019-05-21,118.25,buy,-110.44998168945312
39,2019-05-24,111.9000015258789,sell,-116.79998016357422
40,2019-08-02,50.04999923706055,buy,-116.79998016357422
41,2019-08-08,46.5,sell,-120.34997940063477
42,2019-09-16,40.04999923706055,buy,-120.34997940063477
43,2019-09-18,37.45000076293945,sell,-122.94997787475586
44,2019-09-19,36.20000076293945,buy,-122.94997787475586
45,2019-09-27,33.400001525878906,sell,-125.7499771118164
46,2019-10-25,28.899999618530273,buy,-125.7499771118164
47,2019-10-29,31.799999237060547,sell,-122.84997749328613
48,2019-10-30,33.349998474121094,buy,-122.84997749328613
49,2019-11-01,36.75,sell,-119.44997596740723
50,2019-12-24,25.5,buy,-119.44997596740723
51,2019-12-30,28.0,sell,-116.94997596740723
52,2019-12-31,29.399999618530273,buy,-116.94997596740723
53,2020-01-02,32.349998474121094,sell,-113.9999771118164
54,2020-02-19,23.049999237060547,buy,-113.9999771118164
55,2020-02-26,21.450000762939453,sell,-115.5999755859375
56,2020-04-08,12.300000190734863,buy,-115.5999755859375
57,2020-04-13,13.5,sell,-114.39997577667236
58,2020-04-15,14.149999618530273,buy,-114.39997577667236
59,2020-04-17,15.550000190734863,sell,-112.99997520446777
60,2020-06-04,19.100000381469727,buy,-112.99997520446777
61,2020-06-05,21.0,sell,-111.0999755859375
62,2020-06-08,23.100000381469727,buy,-111.0999755859375
63,2020-06-12,21.799999237060547,sell,-112.39997673034668
64,2020-08-14,30.549999237060547,buy,-112.39997673034668
65,2020-08-19,32.25,sell,-110.69997596740723
66,2020-08-20,31.450000762939453,buy,-110.69997596740723
67,2020-08-24,29.700000762939453,sell,-112.44997596740723
68,2020-11-23,20.450000762939453,buy,-112.44997596740723
69,2020-11-25,22.450000762939453,sell,-110.44997596740723
70,2021-01-04,28.899999618530273,buy,-110.44997596740723
71,2021-01-11,30.899999618530273,sell,-108.44997596740723
72,2021-02-05,33.349998474121094,buy,-108.44997596740723
73,2021-02-10,31.299999237060547,sell,-110.49997520446777
74,2021-03-03,31.700000762939453,buy,-110.49997520446777
75,2021-03-09,35.599998474121094,sell,-106.59997749328613
76,2021-04-30,42.400001525878906,buy,-106.59997749328613
77,2021-05-03,50.45000076293945,sell,-98.54997825622559
78,2021-05-04,45.5,buy,-98.54997825622559
79,2021-05-10,48.25,sell,-95.79997825622559
80,2021-09-02,68.8499984741211,buy,-95.79997825622559
81,2021-09-09,74.19999694824219,sell,-90.44997978210449
82,2021-11-26,92.75,buy,-90.44997978210449
83,2021-11-30,84.19999694824219,sell,-98.9999828338623
84,2021-12-02,87.75,buy,-98.9999828338623
85,2021-12-07,96.3499984741211,sell,-90.39998435974121
86,2022-01-06,100.1500015258789,buy,-90.39998435974121
87,2022-01-17,105.55000305175781,sell,-84.9999828338623
88,2022-02-01,106.0999984741211,buy,-84.9999828338623
89,2022-02-03,115.5999984741211,sell,-75.4999828338623
